這是一份「[NSL] 新資訊機房搬遷專案 - 技術小組週會」的會議逐字稿：
**16:12 Jack：** 好。然後這週有進 NetApp 的借用的 2750 跟明天會進新到貨的 C300。一台是在四方，一台是在文心跟那個名權。

**16:30 Jack：** 然後目前在規劃說有兩台 Switch 會清空。這目前有，目前是在安排時間做，這禮拜應該會先出來這個時間。

**16:52 Jack：** 然後單元測試是今天有報告，但是會再調整內容。然後 18 號就是明天會提供建置計劃書跟點驗清單。然後明天會去四方機房做 Site Check。

**17:12 Jack：** 然後下週部分，下週我有安排去，現在還約那個 VM 去討論平台搬遷方法部分。然後下週我們有一台文心 9 樓的借用的設備會搬回名權，就是後續 Production 搬遷要使用，所以會把它搬回名權。已經有安排那個要上台的部分。然後下週 NetApp 目前的設備都已經到位，所以下週會開始做建置。然後 Dell 的設備是在最快的設備是在 12 月 24 會到貨。然後我的報告到這邊。

**18:04 JC：** OK，好。這邊有其他跟，跟其他廠商有 Dependency 需要提供你資料，除了那個 WWN 跟 LUN 的部分？

**18:14 Jack：** 喔，對。我講有一個是那個 Dell 設備的線標的表格我已經填完了。那我已經昨天有寄出來給 Ben，那看是不是機房這邊可以先幫我把短跳線開始去去排這個短跳線的部分。

**18:32 JC：** 這些線標？

**18:33 Jack：** 對，我寫，我昨天寄出來。因為剛好 Johnny 有給。

**18:38 JC：** 哦，範例檔。

**18:39 Jack：** 對，我再，我再 Mail 裡面有發。包含範例檔。

**18:44 JC：** 哦，OK。

**18:45 Jack：** 所以這部分再可能請 Ben 幫忙開始幫忙我把那個設備的短跳線開始接上去。

**19:04 JC：** 好，好。OK。

**19:08 JC：** 好，那我們再往下看，SAP 的部分。

**19:12 Johnny：** 好，那我報告一下那個 SAP 目前 Hardware 的部分。那本週的進度就是我們持續在寫建置計劃書。那再來就是四方機房的新線標填寫，已經我們廠商已經協助幫忙填寫，那再請幼安這邊再做最後的確認。

**19:33 Johnny：** 那再來就是 Q 環境五台的 DL380 Gen12，已經把 OS 安裝好了，然後網路設定也設定好了，就等等待測試。

**19:45 Johnny：** 那在 DR 環境的部分，有關 Car2 機箱整併到 CarB 的目前在進行中。那 R 環境的相關的設備也已經完成上架跟接線的部分。那這是目前進度的部分。

**20:02 Johnny：** 那預計下週，下週的進度就是持續把建置計劃書完成。然後再來就是 12 月 18 號下午的四方機房的 Site Check。那及如果這週 R 環境如果 R 環境也上架接線，我們預計就是開始安裝 OS 的部分。

**20:23 Johnny：** 那再來就是 R 環境的那個有一台 Superdome Flex 的拆分作業，那預計在配合這一次的第二次 Production 的第二梯次搬遷，會把其中一個機箱搬至台中。那這就是目前 SAP 目前的進度。好，謝謝。

**20:46 JC：** 好，謝謝。機房的部分也可以麻煩你幫忙再報一下嗎？

**20:51 Johnny：** 好，OK。好，那有關文心機房搬遷的部分，預計在這一週五、六進行那個第二次，第二梯次的搬遷。那包括了 DQ 還有 Sunset 的三個環境。

**21:08 Johnny：** 那再來就是預計下週，這梯次搬完後會有一個搬遷後的檢視會議。那接下來就是開始著手進行 R 環境的連線資訊的填寫，及一些 R 環境設備後視圖的一些整理。那這是目前文心機房搬遷的進度。

**21:32 JC：** 好，謝謝。謝謝 Johnny。

**21:37 JC：** 好，那我們下一個看一個基礎架構現代化，我們請啟鵬幫忙 update 一下。

**21:43 啟鵬：** 好，那基礎架構現代化這部分呢，那目前其實還是在這個腳本編寫的狀態。那因為我現在拿到的這個比例呢，因為是昨天 Brian 休假，我是週一找他拿到的，那所以這個比例跟上週比相對來說變化會比較小一些。

**22:01 啟鵬：** 然後這邊有一個呢是我們在 1 月份的時候應該會去做這個 AAP 平台的一些建置的工作。那我們之前所有測過的這些腳本，未來會在這個 AAP 的這個平台下面重新去做一次新的這個驗測，然後通過 AAP 來調用執行，包括一些管理，看一下有沒有相關的問題，會做一次這樣的複測。

**22:25 啟鵬：** 那之前有提到過的關於那個網路設備接入 Ansible 的那個話題了，然後我們之前做過幾次的這個測試，那初步懷疑可能跟這個 Ansible 模組的版本有關係。那這部分呢，可能暫時先暫停，然後等到我們 AAP 建置完成以後，在新的這個 AAP 環境裡面再做相關的這個測試的動作。那主要基礎架構現代化就是這邊這些內容。

**22:54 JC：** 好，好，謝謝。因為那個小白人剛好走出去喔，所以我們就先 Skip 在這邊。

**23:02 JC：** 好，那我們往下看，目前的話就是待辦的議題是無，然後變更事項、風險跟資安的事件其實目前都是無喔。

**23:12 JC：** 那針對我們今天 update 的內容，線上跟在場的同仁長官們有沒有什麼需要 Cross Check 的部分？

**23:28 JC：** 有嗎？如果沒有的話，我們今天會議到這邊告一段落。

**23:38 JC：** 好，那我們謝謝大家，謝謝。

**23:42 線上人員：** 謝謝。
